# This file was converted from a file produced by the NASA Exoplanet Archive
# http://exoplanetarchive.ipac.caltech.edu
# Tue Apr  2 13:20:15 2024
#
System,11 Com
Star,11 Com,11 Com,G8 III,4874.00,2.09
Planet,11 Com b,11 Com,11 Com,323.21000000,12.200
System,11 UMi
Star,11 UMi,11 UMi,K4 III,4213.00,2.78
Planet,11 UMi b,11 UMi,11 UMi,516.21997000,12.300
System,14 And
Star,14 And,14 And,K0 III,4888.00,1.78
Planet,14 And b,14 And,14 And,186.76000000,13.100
System,14 Her
Star,14 Her,14 Her,K0 V,5338.00,0.91
Planet,14 Her b,14 Her,14 Her,1765.03890000,12.600
Satellite,14 Her b Sat 1a,14 Her b,14 Her,1.240000,No
System,16 Cyg B
Star,16 Cyg B,16 Cyg B,G3 V,5750.00,1.08
Planet,16 Cyg B b,16 Cyg B,16 Cyg B,798.50000000,13.500
System,17 Sco
Star,17 Sco,17 Sco,K3 III,4157.00,1.22
Planet,17 Sco b,17 Sco,17 Sco,578.38000000,12.900
System,18 Del
Star,18 Del,18 Del,G6 III,4980.00,2.10
Planet,18 Del b,18 Del,18 Del,982.85000000,12.500
System,1RXS J160929.1-210524
Star,1RXS J160929.1-210524,1RXS J160929.1-210524,K7 V,4060.00,0.85
Planet,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1RXS J160929.1-210524,,18.647
System,24 Boo
Star,24 Boo,24 Boo,G3 IV,4816.00,1.05
Planet,24 Boo b,24 Boo,24 Boo,30.33000000,13.900
System,24 Sex
Star,24 Sex,24 Sex,K0 IV,5098.00,1.54
Planet,24 Sex b,24 Sex,24 Sex,452.80000000,13.400
System,24 Sex
Star,24 Sex,24 Sex,K0 IV,5098.00,1.54
Planet,24 Sex c,24 Sex,24 Sex,883.00000000,13.900
System,2MASS J04372171+2651014
Star,2MASS J04372171+2651014,2MASS J04372171+2651014,M V,3100.00,0.17
Planet,2M0437 b,2MASS J04372171+2651014,2MASS J04372171+2651014,,13.000
System,2MASS J01033563-5515561 A
Star,2MASS J01033563-5515561 A,2MASS J01033563-5515561 A,M5.5/M6,,0.19
Planet,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2MASS J01033563-5515561 A,,12.300
System,2MASS J01225093-2439505
