# This file was created for test purposes to mimic data from the NASA Exoplanet Archive
# http://exoplanetarchive.ipac.caltech.edu
#
System,Sol1
Star,Sol1,Sol1,G2 V,5780.00,1.00
Planet,Earth,Sol1,Sol1,365.20,1.00
Satellite,Moon,Earth,Sol1,0.27,Yes
Satellite,International Space Station,Earth,Sol1,0.0000171,No
Planet,Mars,Sol1,Sol1,687.00,0.53

System,Sol2
Star,Sol2,Sol2,G2 V,5780.00,1.00
Planet,Earth2,Sol2,Sol2,365.20,1.00
Satellite,Moon2,Earth2,Sol2,0.27,No

System,Sol3
Star,Sol3,Sol3,G2 V,5780.00,1.00
Planet,Uranus,Sol3,Sol3,30589.000,4.0
Planet,Neptune,Sol3,Sol3,59800.000,3.9
Planet,Pluto,Sol3,Sol3,90560.00,0.2
